linea,estilo,estilo,op,minutaje,fecha,fecha,cantidad,minutos_producidos,min_trab,eficiencia_pct,eficiencia,categoria
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,'Estilo',236985.0,14.0756,3/03/2021,'Fecha',313.0,4405.6628,8064.0,54.63371527777778,0.5463371527777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,H8622,236985.0,14.0756,3/03/2021,10/03/2021,87.0,1224.5772,8064.0,15.185729166666667,0.15185729166666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,Total H8622,236985.0,14.0756,4/03/2021,,374.0,5264.2744,8064.0,65.28118055555557,0.6528118055555556,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,,236985.0,14.0756,5/03/2021,Total 10/03/2021,34.0,478.5704,8064.0,5.934652777777778,0.05934652777777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,H8622,236985.0,14.0756,5/03/2021,11/03/2021,410.0,5770.996,8064.0,71.56493055555556,0.7156493055555556,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,237314.0,14.0756,8/03/2021,,250.0,3518.9,6089.0,57.791098702578424,0.5779109870257843,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,237314.0,14.0756,9/03/2021,Total 11/03/2021,260.0,3659.656,6912.0,52.946412037037035,0.5294641203703704,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,237313.0,14.0756,10/03/2021,12/03/2021,160.0,2252.096,6912.0,32.58240740740741,0.3258240740740741,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,237314.0,14.0756,10/03/2021,,90.0,1266.804,6912.0,18.327604166666667,0.18327604166666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,237313.0,14.0756,11/03/2021,Total 12/03/2021,404.0,5686.5424,5760.0,98.72469444444445,0.9872469444444445,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PT0074,237312.0,14.0756,12/03/2021,15/03/2021,485.0,6826.666,5760.0,118.51850694444445,1.1851850694444446,
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total AV056-PT0074,237313.0,14.0756,12/03/2021,,94.0,1323.1064,5760.0,22.97059722222222,0.22970597222222222,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,,236986.0,13.5756,15/03/2021,Total 15/03/2021,99.0,1343.9844,4608.0,29.166328125000003,0.29166328125,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,AV056-PT0074,236986.0,13.5756,15/03/2021,16/03/2021,301.0,4086.2556,4608.0,88.677421875,0.88677421875,Alta
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,Total AV056-PT0074,236986.0,13.5756,16/03/2021,,307.0,4167.7092,4608.0,90.445078125,0.90445078125,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,237312.0,14.0756,16/03/2021,,35.0,492.646,4608.0,10.691102430555556,0.10691102430555556,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,Total H8622,237906.0,20.3628,17/03/2021,,2.0,40.7256,4608.0,0.8838020833333333,0.008838020833333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,,237906.0,20.3628,17/03/2021,Total 16/03/2021,77.0,1567.9356,4608.0,34.026380208333336,0.34026380208333334,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,PADERNA 11,237906.0,20.3628,18/03/2021,17/03/2021,171.0,3482.0388,4608.0,75.565078125,0.75565078125,Media
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,Total PADERNA 11,237906.0,20.3628,18/03/2021,,13.0,264.7164,4608.0,5.744713541666667,0.05744713541666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,,237906.0,20.3628,19/03/2021,Total 17/03/2021,157.0,3196.9596,4608.0,69.37846354166666,0.6937846354166666,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,PADERNA 11,236572.0,16.7518,22/03/2021,18/03/2021,100.0,1675.18,6912.0,24.23582175925926,0.2423582175925926,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total PADERNA 11,236572.0,16.7518,23/03/2021,,167.0,2797.5506,6912.0,40.473822337962964,0.40473822337962967,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,,236572.0,16.7518,23/03/2021,Total 18/03/2021,24.0,402.0432,6912.0,5.816597222222223,0.05816597222222222,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,PADERNA 11,236572.0,16.7518,24/03/2021,19/03/2021,98.0,1641.6764,9792.0,16.765486111111112,0.16765486111111114,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total PADERNA 11,236572.0,16.7518,24/03/2021,,29.0,485.8022,9792.0,4.961215277777778,0.04961215277777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,,236572.0,16.7518,24/03/2021,Total 19/03/2021,85.0,1423.903,9792.0,14.541493055555554,0.14541493055555554,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,AV056-PT0072,236572.0,16.7518,25/03/2021,2/03/2021,236.0,3953.4248,9456.0,41.80863790186125,0.4180863790186125,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total AV056-PT0072,236572.0,16.7518,26/03/2021,,45.0,753.831,8640.0,8.724895833333333,0.08724895833333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,236991.0,14.0756,26/03/2021,Total 2/03/2021,75.0,1055.67,8640.0,12.21840277777778,0.12218402777777779,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,POLO BOX,236572.0,16.7518,29/03/2021,22/03/2021,133.0,2227.9894,8640.0,25.786914351851852,0.25786914351851853,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,236991.0,14.0756,29/03/2021,,270.0,3800.412,8640.0,43.98625,0.4398625,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,237015.0,14.0756,30/03/2021,,310.0,4363.436,10692.0,40.81028806584362,0.4081028806584362,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,31/03/2021,Total 22/03/2021,71.0,999.3676,9456.0,10.56860829103215,0.1056860829103215,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,POLO BOX,237015.0,14.0756,31/03/2021,23/03/2021,182.0,2561.7592,9456.0,27.09136209813875,0.2709136209813875,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,5/04/2021,,138.0,1942.4328,4032.0,48.17541666666666,0.48175416666666665,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,Total POLO BOX,236988.0,14.0756,6/04/2021,,159.0,2238.0204,5184.0,43.17168981481481,0.4317168981481481,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,7/04/2021,Total 23/03/2021,180.0,2533.608,4959.0,51.09110707803993,0.5109110707803993,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,POLO BOX,236988.0,14.0756,8/04/2021,24/03/2021,43.0,605.2508,6396.0,9.462958098811757,0.09462958098811758,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,8/04/2021,,107.0,1392.9046,6396.0,21.777745465916198,0.21777745465916198,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,Total POLO BOX,237957.0,27.2239,9/04/2021,,67.0,1824.0013,6336.0,28.787899305555552,0.28787899305555553,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,,237957.0,27.2239,9/04/2021,Total 24/03/2021,116.0,3157.9724,6336.0,49.84173611111111,0.4984173611111111,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,POLO BOX,237957.0,27.2239,9/04/2021,25/03/2021,87.0,2368.4793,6336.0,37.38130208333333,0.3738130208333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,9/04/2021,,203.0,2642.6134,6336.0,41.707913510101015,0.41707913510101013,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,239354.0,13.0178,12/04/2021,,180.0,2343.204,6336.0,36.982386363636365,0.36982386363636366,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,13/04/2021,Total 25/03/2021,85.0,1106.513,6336.0,17.46390467171717,0.1746390467171717,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239399.0,13.0178,13/04/2021,26/03/2021,52.0,676.9256,6336.0,10.683800505050506,0.10683800505050506,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239399.0,13.0178,13/04/2021,,163.0,2121.9014,6336.0,33.489605429292936,0.33489605429292935,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239353.0,13.0178,14/04/2021,,160.0,2082.848,6912.0,30.133796296296296,0.30133796296296295,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,POLO BOX,239353.0,13.0178,14/04/2021,,115.0,1497.047,6912.0,21.658666087962963,0.21658666087962963,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,239399.0,13.0178,14/04/2021,,350.0,4556.23,6912.0,65.91767939814814,0.6591767939814814,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239353.0,13.0178,15/04/2021,Total 26/03/2021,530.0,6899.434,6912.0,99.81820023148148,0.9981820023148148,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239353.0,13.0178,16/04/2021,29/03/2021,77.0,1002.3706,6804.0,14.73207818930041,0.1473207818930041,Baja
